Deutch,Italian
Ich,IO
ist,È
ich,IO
nicht,non
Sie,Lei
du,Voi
das,IL
die,IL
es,Esso
und,E
der,IL
zu,A
sie,Lei
Das,IL
ein,UN
in,In
wir,Noi
Du,Voi
mir,Me
mit,con
Was,Che cosa
den,IL
mich,Me
was,Che cosa
auf,SU
dass,Quello
er,Lui
eine,uno
Es,Esso
hat,ha
Wir,Noi
Und,E
so,COSÌ
sind,Sono
von,da
dich,Voi
war,era
haben,Avere
für,per
Ja,SÌ
hier,Qui
an,A
habe,Avere
Er,Lui
bin,Sono
wie,Come
noch,Ancora
dir,Voi
uns,noi
sich,si
Die,IL
nur,soltanto
einen,UN
Nein,NO
dem,Dem
ihn,lui
auch,Anche
hast,Avere
sein,Essere
ihr,suo
da,Là
aus,fuori da
kann,Potere
aber,Ma
Aber,Ma
schon,Già
wenn,Se
wird,diventa
um,in giro
Wie,Come
als,COME
bist,Sono
im,nel
mal,Appena
doch,Ma
gut,Bene
meine,mio
jetzt,Ora
weiß,bianco
Wenn,Se
werden,diventare
Der,IL
nach,Dopo
ja,SÌ
Oh,OH
oder,O
dann,Poi
will,Volere
mein,Mio
mehr,Di più
keine,NO
etwas,qualcosa
alles,qualunque cosa
muss,dovere
immer,Sempre
nichts,Niente
man,Uomo
wieder,Ancora
bei,A
hab,Avere
machen,Fare
vor,Prima
Mann,Uomo
ihm,lui
einem,UN
tun,Fare
zum,per il
können,Potere
sagen,Dire
werde,diventare
denn,Perché
Ist,È
Ein,UN
Warum,Perché
einer,uno
gehen,andare
sehen,Vedere
sehr,molto
geht,va
alle,Tutto
über,Sopra
müssen,dovere
diese,Questo
einfach,semplicemente
euch,Voi
des,Di
nie,Mai
Also,COSÌ
Wo,Dove
los,Dai
Zeit,Tempo
Ihnen,Loro
gibt,dà
wirklich,Veramente
Hey,EHI
Danke,Grazie
deine,tuo
würde,volevo
soll,Dovrebbe
Da,Là
hatte,avevo
Hier,Qui
wissen,conoscenza
bitte,Per favore
viel,tanto
Dann,Poi
So,COSÌ
gesagt,disse
Ihr,Suo
am,al
kein,NO
Komm,Venire
Wer,Chi
zurück,Indietro
wurde,divenne
In,In
wollte,ricercato
Frau,Donna
Leben,Vita
wäre,erano
wo,Dove
damit,con esso
Nicht,Non
Gott,Dio
Leute,Persone
kannst,Potere
heute,Oggi
meinen,Significare
dieser,Questo
dein,tuo
kommt,arriva
kommen,Venire
willst,Volere
Na,N / a
wollen,Volere
sicher,sicuro
ganz,abbastanza
Jetzt,Ora
Mein,Mio
Mr,SIG
also,COSÌ
zur,A
Hast,Avere
Gut,Bene
hätte,avrebbe
weil,Perché
tut,fa
Hallo,Ciao
Okay,OK
macht,Potrebbe
waren,erano
bis,Fino a
Vielleicht,Forse
könnte,Potevo
Eine,Uno
Bitte,Per favore
weg,lontano
seine,il suo
lassen,permettere
Vater,Padre
gesehen,visto
Nun,BENE
gerade,Dritto
Alles,Qualunque cosa
glaube,credere
Tag,Giorno
ab,lontano
Geld,Soldi
gemacht,fatto
nein,NO
Sir,Signore
sollte,Dovrebbe
sagte,disse
keinen,NO
durch,Attraverso
zwei,due
diesen,Questo
passiert,accaduto
wohl,probabilmente
vielleicht,Forse
ihre,suo
Mutter,Madre
reden,parlare
anderen,altri
dachte,Pensiero
daß,Quello
möchte,Volere
wirst,diventare
gehört,sentito
weißt,bianco
Keine,NO
raus,fuori
Meine,Mio
paar,coppia
besser,Meglio
ob,Se
her,da
musst,dovere
Ordnung,Ordine
meiner,mio
klar,chiaro
ihnen,loro
Los,Dai
diesem,Questo
meinem,Mio
lange,lungo
Lass,Permettere
dieses,Questo
helfen,aiuto
unsere,Nostro
Weg,Lontano
selbst,lui stesso
Nur,Soltanto
finden,Trovare
Mal,Appena
jemand,qualcuno
denke,pensare
Ach,OH
Nacht,Notte
genau,Esattamente
gar,Anche
sagt,dice
Welt,Mondo
Auf,SU
Mädchen,Ragazza
ins,dentro
hin,Là
vom,dal
schön,Carino
warum,Perché
weiter,ulteriore
Leid,Tristezza
gleich,Anche
wer,Chi
Man,Uomo
ohne,senza
Menschen,Persone
deinen,il tuo
leid,tristezza
Wieso,Come mai
dort,Là
Als,COME
Hause,Casa
sollten,Dovrebbe
davon,di quella
zusammen,insieme
geben,Dare
Ok,OK
Hör,Ascoltando
machst,Fare
Freund,Amico
richtig,corretto
Angst,Paura
Bist,Sono
Tut,Fa
Mit,Con
viele,molti
sieht,vede
Haus,Casa
tot,morto
sollen,Dovrebbe
ganze,Totale
andere,altro
getan,fatto
okay,OK
rein,puro
Diese,Questo
Moment,momento
bleiben,rimanere
brauchen,Bisogno
Weil,Perché
Kinder,Bambini
unter,Sotto
Arbeit,Lavoro
Für,Per
Problem,problema
dafür,per quello
